state,leaning,device,collection,watch_index,video_id,watch_ts_datetime,week,month,q3_majority
GEORGIA,left,RFCWA03Y7ZP,forYou,3,7389258298521898270,11-07-2024,11,4,Pro Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,18,7371824817860857130,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,22,7389673982833741102,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,32,7357536849486728479,11-07-2024,11,4,Pro Republican
GEORGIA,left,RFCWA03Y7ZP,forYou,33,7382337620396821802,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,37,7368640312517856555,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,40,7360820662719548714,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,45,7371043449761549600,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,58,7387092040737180958,11-07-2024,11,4,Pro Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,63,7368509131600252165,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,68,7361178734629555463,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,73,7371556284350418208,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,78,7372717834889088298,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,80,7371512897899433259,11-07-2024,11,4,Anti Republican
GEORGIA,left,RFCWA03Y7ZP,forYou,82,7359583561349106990,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,123,7367176721637887275,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,126,7366687543691103530,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,132,7379295036946664737,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,135,7377927851057728814,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,141,7364528742464507178,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,143,7367059837949152544,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,175,7363738403793308960,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,178,7365202271333895467,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,186,7358565278139043104,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,189,7365304899967438113,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,194,7361056953788927275,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,195,7375408785512271121,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,208,7390588890882542878,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,226,7385585895052823839,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,227,7371472496769387781,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,236,7360387508733021483,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,256,7381945961037303071,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,257,7370432971394043182,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,258,7360075318691925281,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,272,7360777409961970986,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,287,7377760930383285537,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,298,7371887448177216814,11-07-2024,11,4,Neutral
GEORGIA,left,RFCWA03Y7ZP,forYou,319,7362239368347618606,11-07-2024,11,4,Anti Democrat
GEORGIA,left,RFCWA03Y7ZP,forYou,333,7387546694075960607,11-07-2024,11,4,Neutral
