state,week,leaning,video_type,proportion
GEORGIA,1,left,Election-Related,0.3409090909090909
GEORGIA,1,right,Election-Related,0.43434343434343436
GEORGIA,3,right,Election-Related,0.2222222222222222
GEORGIA,4,right,Election-Related,0.14285714285714285
GEORGIA,6,right,Election-Related,0.4090909090909091
GEORGIA,9,right,Election-Related,0.3870967741935484
GEORGIA,11,left,Election-Related,0.3076923076923077
GEORGIA,11,right,Election-Related,0.7753623188405797
GEORGIA,12,left,Election-Related,0.8333333333333334
GEORGIA,12,right,Election-Related,0.6486486486486487
GEORGIA,13,left,Election-Related,0.5882352941176471
GEORGIA,13,right,Election-Related,0.5514018691588785
GEORGIA,14,left,Election-Related,0.7272727272727273
GEORGIA,14,right,Election-Related,0.627906976744186
GEORGIA,15,left,Election-Related,0.3333333333333333
GEORGIA,15,right,Election-Related,0.7037037037037037
GEORGIA,16,left,Election-Related,0.7
GEORGIA,16,right,Election-Related,0.47368421052631576
GEORGIA,17,left,Election-Related,0.7241379310344828
GEORGIA,17,right,Election-Related,0.6470588235294118
GEORGIA,18,left,Election-Related,0.5625
GEORGIA,18,right,Election-Related,0.6470588235294118
GEORGIA,19,left,Election-Related,0.8333333333333334
GEORGIA,19,right,Election-Related,0.5227272727272727
GEORGIA,20,left,Election-Related,0.4375
GEORGIA,20,right,Election-Related,0.6949152542372882
GEORGIA,21,left,Election-Related,0.5769230769230769
GEORGIA,21,right,Election-Related,0.5428571428571428
GEORGIA,22,left,Election-Related,0.47058823529411764
GEORGIA,22,right,Election-Related,0.6
GEORGIA,23,left,Election-Related,0.47619047619047616
GEORGIA,23,right,Election-Related,0.5142857142857142
GEORGIA,24,left,Election-Related,0.8181818181818182
GEORGIA,24,right,Election-Related,0.53125
GEORGIA,25,left,Election-Related,0.5652173913043478
GEORGIA,25,right,Election-Related,0.6153846153846154
GEORGIA,27,left,Election-Related,0.7627118644067796
GEORGIA,27,right,Election-Related,0.7608695652173914
NY,1,left,Election-Related,0.75
NY,1,right,Election-Related,0.5714285714285714
NY,2,right,Election-Related,0.42857142857142855
NY,3,right,Election-Related,0.4
NY,5,right,Election-Related,1.0
NY,6,right,Election-Related,0.5
NY,7,right,Election-Related,0.4
NY,9,right,Election-Related,0.5
NY,10,right,Election-Related,0.43478260869565216
NY,11,left,Election-Related,0.23529411764705882
NY,11,right,Election-Related,0.5
