"Engagement metric","True diff. in normalized metric values (Rep - Dem)","Binomial","Lognormal","Normal","Poisson"
"(Comments, Likes, Shares, Plays) Score","0.0209","31.2593","9.4323","34.0259","29.03865"
"Video share count","0.0028","169.4288","51.1241","184.4241","157.3927"
"Video play count","0.0024","177.4398","53.5413","193.1442","164.8346"
"Comment count","0.0006","782.0713","235.9851","851.2887","726.5135"
"Video Like count","0.0009","325.8119","98.3117","354.6479","302.6664"
"Comments per recommendation","-0.0005","-77.8383","-23.4872","-84.7274","-72.3087"
"Video engagement rate","-0.0016","-70.573","-21.295","-76.8191","-65.5596"
"Channel follower count","-0.0017","-122.0704","-36.834","-132.8742","-113.3986"
"Likes per recommendation","-0.0026","-73.7079","-22.2409","-80.2314","-68.4717"
"Channel cumul. likes","-0.0116","-48.4503","-14.6196","-52.7384","-45.0084"
"Video length","-0.014","-31.1608","-9.4026","-33.9187","-28.9472"
"Channel video count","-0.0143","-26.1214","-7.882","-28.4333","-24.2657"
"Opposing comment proportion","-0.0543","-15.3969","-4.6459","-16.7596","-14.3031"
"Party-aligned comment proportion","-0.1043","-4.8802","-1.4726","-5.3121","-4.5335"
"Verified account","-0.1556","-3.6068","-1.0883","-3.926","-3.3505"
