"","","Question 1","Question 2","Question 3"
"Accuracy","GPT 4o","0.710","0.965","0.854"
"Accuracy","Gemini-Pro","0.915","0.955","0.890"
"Accuracy","GPT 4","0.955","0.945","0.909"
"Accuracy","Majority","0.965","0.970","0.957"
"Cohen Kappa","GPT 4o","0.410","0.930","0.767"
"Cohen Kappa","Gemini-Pro","0.831","0.910","0.838"
"Cohen Kappa","GPT 4","0.910","0.888","0.859"
"Cohen Kappa","Majority","0.930","0.940","0.936"
"F1 Score","GPT 4o","0.683","0.965","0.652"
"F1 Score","Gemini-Pro","0.915","0.955","0.707"
"F1 Score","GPT 4","0.955","0.944","0.728"
"F1 Score","Majority","0.965","0.970","0.784"
