answer.topic_new,scenario.id
"['Government or politics generally', 'Other']",7387576062659644714
"['Biden dropping out of the presidential race', 'Government or politics generally']",7418229375209852191
['Government or politics generally'],7410516172036263214
"['Education', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7375188874416360746
"['Immigration', 'Government or politics generally']",7413545482774990123
"['Immigration', 'Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7415631514387385646
['Government or politics generally'],7433851525346151723
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7421687731241110791
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7366299767846063402
"['Economy generally', 'Government or politics generally']",7416493778644520223
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7372653139649924370
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7411312255452597535
"['Climate change', 'Environment generally', 'Economy generally', 'Government or politics generally']",7400129530720963882
"['Abortion and reproductive health', 'Government or politics generally']",7413962156963564831
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7422892872078314782
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7418231969277889823
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7395546653664578858
['Assassination attempt on Donald Trump'],7392669343135337770
['Assassination attempt on Donald Trump'],7392669343135337770
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Economy generally', 'Government or politics generally']",7418348815289306410
"['Racial issues, including affirmative action and racial discrimination', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7382660038806080814
"['Racial issues, including affirmative action and racial discrimination', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7382660038806080814
['Government or politics generally'],7421924753969122606
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7421640691635195167
"['Abortion and reproductive health', 'Government or politics generally']",7419723512962911534
"['Other public health issues', 'Government or politics generally']",7389299303744818462
"['Crypto', 'Government or politics generally']",7414114844435090719
['Government or politics generally'],7372653044305202478
['Government or politics generally'],7406051868436155690
"['Racial issues, including affirmative action and racial discrimination', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7367024481207897390
"['Economy generally', 'Government or politics generally']",7418735756149148959
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7417097025726008608
['Government or politics generally'],7395992142008651038
"['Crime generally', 'Government or politics generally']",7420602145398852907
"['Crime generally', 'Government or politics generally']",7420602145398852907
"['Immigration', 'Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7415275502128139563
"['Immigration', 'Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7415275502128139563
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7404465595208437000
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7362967280092974382
"['Government or politics generally', 'Ukraine war', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7402092763048676616
"['Government or politics generally', 'Ukraine war', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7402092763048676616
"['Other public health issues', 'Government or politics generally']",7422725954415463722
"['Other public health issues', 'Government or politics generally']",7422725954415463722
"['Government or politics generally', 'Biden dropping out of the presidential race']",7428794463025237290
"['Government or politics generally', 'Biden dropping out of the presidential race']",7428794463025237290
"['Immigration', 'Government or politics generally']",7417936330778266910
"['Government or politics generally', 'Other']",7378947641175969066
"['Government or politics generally', 'Other']",7378947641175969066
"['Crime generally', 'Government or politics generally']",7403151123953028395
"['Crime generally', 'Government or politics generally']",7403151123953028395
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7389571199870733585
['Government or politics generally'],7415048282126421294
['Government or politics generally'],7415048282126421294
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7371822005802306859
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7416740097011535150
['Government or politics generally'],7415317721778375967
"['Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7355493453670714667
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7376617045879803154
['Government or politics generally'],7428617935863713055
['Government or politics generally'],7407527923244109064
"['Economy generally', 'Government or politics generally']",7418397973991787819
"['Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7407483508630768927
['Government or politics generally'],7413347595394862382
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7348161314998537514
"['Crime generally', 'Guns and gun control', 'Assassination attempt on Donald Trump']",7415304945353674014
['Government or politics generally'],7403765917567536430
"['Crime generally', 'Guns and gun control', 'Government or politics generally']",7413150378423831838
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Republican National Convention (RNC)', 'Government or politics generally']",7406406187471703327
"['Government or politics generally', 'Other']",7413341278794026272
"['Crime generally', 'Climate change', 'Immigration', 'Abortion and reproductive health', 'Guns and gun control', 'Racial issues, including affirmative action and racial discrimination', 'Economy generally', 'Government or politics generally']",7420818006206467358
"['Immigration', 'LGBTQ+ issues, including transgender issues', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Other public health issues', 'Government or politics generally']",7384876970250751263
"['Crime generally', 'Government or politics generally']",7410141103720090911
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Economy generally', 'Government or politics generally']",7367404197244980523
"['Crime generally', 'Immigration', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7424203830545485088
"['Government or politics generally', 'Biden dropping out of the presidential race']",7392801553725361451
"['Guns and gun control', 'Government or politics generally']",7423499458236730666
"['Other technology issues', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7334799591977585962
['Government or politics generally'],7410561194056027422
['Government or politics generally'],7406393548897094958
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7422095155232132383
['Government or politics generally'],7433443070265281835
"['Crime generally', 'Racial issues, including affirmative action and racial discrimination', 'Covid, including covid vaccines']",7384577872209415466
['Government or politics generally'],7386972140827856170
"['Immigration', 'Government or politics generally']",7398289562331614495
"['Immigration', 'Government or politics generally']",7385386481210248479
"['Crime generally', 'Government or politics generally']",7379317280531909930
"['Guns and gun control', 'Other vaccines', 'Government or politics generally']",7367572046705921326
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7410000723452185889
"['Economy generally', 'Government or politics generally', 'Biden dropping out of the presidential race']",7425640127843667231
"['Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration', 'Government or politics generally', 'Racial issues, including affirmative action and racial discrimination']",7392971516901657874
"['Covid, including covid vaccines', 'Government or politics generally']",7424611953886285102
['Government or politics generally'],7416364205378391338
"['Racial issues, including affirmative action and racial discrimination', 'Education', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7363391280740650286
"['Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7421623873289981185
"['Economy generally', 'Crypto', 'Government or politics generally', 'Biden dropping out of the presidential race']",7418621146918030623
['Government or politics generally'],7426339020495654190
"['LGBTQ+ issues, including transgender issues', 'Economy generally', 'Government or politics generally', 'Biden dropping out of the presidential race']",7421670773238041887
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7366946613039811872
['Crime generally'],7421166333640871201
"['Abortion and reproductive health', 'Government or politics generally']",7396801169084976426
"['Government or politics generally', 'Economy generally']",7416011493222665503
"['Other public health issues', 'Other social issues, including culture war issues, labor, and other social issues that are not covered above']",7380437817547033886
"['Government or politics generally', 'Biden dropping out of the presidential race']",7429036371295096107
['Government or politics generally'],7404489516909694254
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7360766355806702880
"['Economy generally', 'Biden dropping out of the presidential race', 'Government or politics generally']",7405651165179956523
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7403871581266644254
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7403871581266644254
"['Crime generally', 'Government or politics generally']",7386754860579917099
"['Crime generally', 'Government or politics generally']",7386754860579917099
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7375193460581731590
"['Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7420580495437745451
['Other'],7367737962643213585
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7418840989676145963
"['Immigration', 'Government or politics generally']",7401534095282556206
"['Government or politics generally', 'Biden dropping out of the presidential race']",7419403503019265310
"['Economy generally', 'Government or politics generally', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7414169107517541664
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7407228132001910046
"['Government or politics generally', 'Biden dropping out of the presidential race']",7419382624973507871
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7353653025359105313
"['Immigration', 'Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas', 'Ukraine war', 'Anything outside the US or involve US foreign relations except for Israel, Gaza, Ukraine, or immigration']",7424272894924033311
"['Government or politics generally', 'Biden dropping out of the presidential race']",7392598427235863839
"['Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7426496012526619934
"['Economy generally', 'Government or politics generally']",7421108254039625002
"['Immigration', 'Racial issues, including affirmative action and racial discrimination', 'Government or politics generally']",7378628567829056800
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7368588069596925230
"['Other social issues, including culture war issues, labor, and other social issues that are not covered above', 'Government or politics generally']",7410513053806120222
"['Government or politics generally', 'Israel, Gaza or Palestine, including anything about Netanyahu or Hamas']",7418149819467828513
"['Government or politics generally', 'Other']",7383054061676924206
