is_transcript,bot_type,percentage,video_type
False,Democrat,0.30864197530864196,Democrat
False,Democrat,0.5432098765432098,Neutral
False,Democrat,0.14814814814814814,Republican
False,Republican,0.1891891891891892,Democrat
False,Republican,0.4594594594594595,Republican
False,Republican,0.35135135135135137,Neutral
True,Democrat,0.3698511166253102,Democrat
True,Democrat,0.45744416873449134,Neutral
True,Democrat,0.17270471464019851,Republican
True,Republican,0.08166230746875908,Democrat
True,Republican,0.559575704736995,Republican
True,Republican,0.35876198779424584,Neutral
False,Democrat,0.5555555555555556,Election
False,Republican,0.6756756756756757,Election
True,Democrat,0.492873975984738,Election
True,Republican,0.5397078353253653,Election
False,Democrat,0.07248764415156507,Political
False,Republican,0.04081632653061224,Political
True,Democrat,0.2849031606838685,Political
True,Republican,0.2497963705079334,Political
