video_id,embedding,collection,party,type,x,y,projection_Democrat_Republican
7.398169202500079e+18,"[ 0.03127711 -0.01857529 -0.00208077 ...  0.00385436 -0.05266818
 -0.00937661]",persona,Democrat,video,-0.1664486,-0.08301913,0.0026200358
7.39678916421937e+18,"[ 0.01871781 -0.02514613 -0.00660184 ... -0.00283504 -0.03274605
 -0.0332314 ]",persona,Democrat,video,-0.1500987,-0.041531995,-0.058583
7.395697660147076e+18,"[ 0.0483822  -0.02306487 -0.02069353 ... -0.01682994 -0.04811811
 -0.00627002]",persona,Democrat,video,-0.18622983,-0.047433753,-0.058352903
7.397509319903743e+18,"[ 0.02244155 -0.01841178 -0.03180342 ... -0.00251002 -0.03231659
  0.00456389]",persona,Republican,video,-0.061414286,-0.053044315,0.078893274
7.397271320431513e+18,"[ 0.01737666  0.00157683 -0.0131733  ...  0.00445113 -0.04262451
 -0.00049045]",persona,Democrat,video,0.00027033113,-0.022434305,0.056090705
7.396117202639916e+18,"[ 0.00665624 -0.00346402 -0.00261675 ... -0.02964149 -0.05033498
 -0.00468297]",persona,Republican,video,-0.16099896,-0.072964534,0.098433614
7.398183885206539e+18,"[ 0.03705389 -0.02405407 -0.02682522 ... -0.01051658 -0.00354255
  0.00565019]",persona,Republican,video,-0.09828061,-0.08767743,0.057122946
7.397998070497168e+18,"[ 0.02219055 -0.03448477 -0.01521958 ... -0.02310937 -0.0207498
 -0.01886306]",persona,Republican,video,-0.110055745,0.0007387037,0.05847143
7.397899250161438e+18,"[ 0.01518562 -0.00200199 -0.02567066 ...  0.00729123 -0.00739145
  0.02779785]",persona,Republican,video,-0.055176638,-0.03973606,0.080021456
7.397869934119882e+18,"[ 0.05866727 -0.00990811 -0.02640544 ... -0.01644105 -0.05288794
  0.00177433]",persona,Republican,video,-0.12843344,-0.12201638,0.093726225
7.397678901150961e+18,"[ 0.01512312 -0.02846345 -0.03443993 ... -0.02590294 -0.01331518
  0.01368479]",persona,Republican,video,-0.07276351,-0.0076504922,0.06632149
7.396693911852436e+18,"[ 0.03602405 -0.01449898 -0.03136286 ...  0.00789274 -0.04421091
 -0.00186084]",persona,Republican,video,-0.11627271,-0.12564863,0.12797108
7.396408664237559e+18,"[ 0.01617562 -0.00772439 -0.03382343 ...  0.00932842 -0.01964366
  0.01578869]",persona,Democrat,video,-0.097323015,-0.12781218,0.10161358
7.396333842623237e+18,"[ 0.0442633  -0.02009803 -0.04758446 ... -0.0243998  -0.03551592
  0.00554575]",persona,Republican,video,-0.117436916,-0.10120874,0.13622956
7.396315721313111e+18,"[ 0.03989779 -0.00994327 -0.04616622 ...  0.007203   -0.0341435
  0.0202924 ]",persona,Republican,video,-0.14575034,-0.12171975,0.114785165
7.39630004386043e+18,"[ 0.02958754 -0.01536071 -0.02665408 ... -0.00831744 -0.06221771
 -0.00070586]",persona,Republican,video,-0.07827794,-0.06710936,0.03483954
7.281472604320304e+18,"[ 0.02897796 -0.00911638 -0.02421971 ...  0.0063889  -0.03507798
 -0.0177387 ]",persona,Democrat,video,-0.1418902,-0.084504545,-0.0027918387
7.397571409381232e+18,"[ 0.05424928 -0.01593575 -0.03472098 ... -0.00078851 -0.03286877
  0.00982869]",persona,Democrat,video,-0.15526935,-0.041376267,-0.07208965
7.3863045407205e+18,"[-0.01870209 -0.02776498 -0.00245326 ... -0.03394129 -0.01696397
  0.01087506]",persona,Democrat,video,-0.012015914,0.0826559,0.031134555
7.39444942568853e+18,"[ 0.03964675 -0.03542712 -0.03513573 ...  0.0049024  -0.05151977
  0.00039739]",persona,Democrat,video,-0.16458273,-0.043079,0.08372127
7.394471872332631e+18,"[ 0.04048268 -0.00902958 -0.03265197 ...  0.02489181 -0.05224929
  0.01281084]",persona,Republican,video,-0.12127098,-0.14175226,0.07904616
7.376903432013204e+18,"[ 0.01496817 -0.02827217 -0.0186718  ... -0.02004145 -0.04370161
  0.02136263]",persona,Republican,video,-0.108733155,-0.076881155,0.08227317
7.376390634933947e+18,"[ 0.02753896 -0.03343192 -0.04519524 ...  0.01522723 -0.06198872
  0.0054846 ]",persona,Republican,video,-0.13583922,-0.12482354,0.12871017
7.323231365787323e+18,"[ 0.03010622 -0.01527316 -0.05490942 ... -0.02860647 -0.03533192
 -0.01497268]",persona,Republican,video,-0.060478773,-0.07533225,0.13095786
7.289552842669493e+18,"[ 0.0284962  -0.03115611 -0.0254503  ... -0.00957287 -0.02670804
  0.01183131]",persona,Democrat,video,-0.14252925,-0.13979287,0.008091394
7.276568580769107e+18,"[ 0.03031038 -0.00609673 -0.02975297 ... -0.01977288 -0.03483931
 -0.01263062]",persona,Republican,video,-0.06201031,-0.040500443,0.1362775
7.398186253394562e+18,"[ 0.02157193 -0.02441582 -0.01489019 ... -0.04005526 -0.04644147
 -0.03112449]",persona,Republican,video,-0.156871,-0.14249976,0.067834176
7.397984918229323e+18,"[ 0.02203044 -0.01929587 -0.0380399  ...  0.00105735 -0.05807567
 -0.00061175]",persona,Republican,video,-0.14035715,-0.11865362,0.008979371
7.294267943217565e+18,"[ 0.02177068 -0.03827772 -0.02665869 ...  0.00117162 -0.04615831
 -0.02131965]",persona,Democrat,video,-0.14955853,-0.09003784,-0.07046314
7.39823095082561e+18,"[ 0.03464287 -0.02152161 -0.0170024  ...  0.00871997 -0.05398752
 -0.00631207]",persona,Republican,video,-0.16383596,-0.040000252,0.005629381
7.397899643545308e+18,"[ 0.04562666 -0.01448073 -0.03923546 ... -0.005021   -0.05432734
  0.00277083]",persona,Republican,video,-0.16894801,-0.068486094,0.025315305
7.397560199126453e+18,"[ 0.04588091 -0.03844209 -0.0247136  ... -0.01580697 -0.04661393
 -0.01045882]",persona,Republican,video,-0.17337525,0.0033016622,-0.057621963
7.397518685339995e+18,"[ 0.03174612 -0.02606704 -0.03003706 ... -0.00404519 -0.03907421
  0.00887239]",persona,Republican,video,-0.16632527,-0.05906459,0.016855199
7.397201510494621e+18,"[ 0.0274954  -0.00557168 -0.02257739 ...  0.01269605 -0.01623494
 -0.00944594]",persona,Republican,video,-0.14827205,-0.07445847,0.03956955
7.397152338516905e+18,"[ 0.03219125 -0.02571669 -0.0390231  ... -0.00376479 -0.03833756
  0.00854992]",persona,Republican,video,-0.17564327,-0.06712988,0.027607495
7.396052888193109e+18,"[ 0.03890883 -0.04573011 -0.02220742 ... -0.01069973 -0.045779
 -0.03053723]",persona,Republican,video,-0.20720817,0.02293396,-0.033460043
7.395683868864728e+18,"[ 0.03194451 -0.01312327 -0.00738082 ... -0.02077267 -0.05731628
  0.002429  ]",persona,Republican,video,-0.20110334,-0.10486848,0.010345468
7.397953402438684e+18,"[ 0.06129361 -0.01022273 -0.03723457 ... -0.00505393 -0.06416522
 -0.01345444]",persona,Republican,video,-0.14492685,-0.12391347,0.05863487
7.39748524908251e+18,"[ 0.04632594 -0.01800322 -0.02445677 ... -0.01108655 -0.04221316
 -0.01292675]",persona,Democrat,video,-0.12811065,-0.095986046,0.05916954
7.397460951487811e+18,"[ 0.02512728 -0.01900357 -0.04071638 ... -0.01523416 -0.03606173
  0.0224934 ]",persona,Republican,video,-0.18466134,-0.15960841,0.05959937
7.397248955811253e+18,"[ 0.02834394 -0.03716923 -0.0175622  ...  0.00374843 -0.0754193
 -0.01658782]",persona,Republican,video,-0.13288686,-0.15790193,0.0651656
7.397235892693356e+18,"[ 0.00475448 -0.01482173 -0.02187775 ... -0.01110497 -0.0406459
  0.00811612]",persona,Democrat,video,-0.16565894,-0.123726904,-0.047917522
7.396882788005252e+18,"[ 0.06786907 -0.03072169 -0.01538169 ... -0.01003027 -0.04958985
 -0.01660717]",persona,Republican,video,-0.16256778,-0.057792407,0.07696071
7.395685712881798e+18,"[ 0.00010386 -0.01378684 -0.00492984 ... -0.02241273 -0.03631485
  0.0101373 ]",persona,Republican,video,-0.05624719,-0.10985933,0.11011277
7.398188702868131e+18,"[ 0.0205162  -0.0136865  -0.00558977 ... -0.01300219 -0.0174317
  0.00396234]",persona,Republican,video,-0.10698785,-0.052930314,0.036326803
7.397950537670331e+18,"[ 0.03810363  0.00287844 -0.01338838 ... -0.00423599 -0.03061621
 -0.0066569 ]",persona,Republican,video,-0.16768907,-0.12602222,0.055977512
7.397108342595784e+18,"[ 0.02377776 -0.01919399 -0.00741923 ... -0.00271794 -0.01458674
  0.00298144]",persona,Republican,video,-0.12631057,-0.107351586,0.0014839806
7.393318158511377e+18,"[ 0.02182211 -0.0082387  -0.01730476 ... -0.02332306 -0.03534609
 -0.00204206]",persona,Republican,video,-0.041132957,-0.03927061,0.11406562
7.395371731222859e+18,"[ 0.01364036 -0.02158417 -0.02874789 ... -0.00054773 -0.04409619
  0.00693239]",persona,Republican,video,-0.11138758,-0.08930178,0.055568054
7.395314010842844e+18,"[ 0.01831242 -0.02023267  0.0015925  ...  0.00329745 -0.01612957
  0.01202668]",persona,Republican,video,-0.1126436,-0.08570322,0.05608505
7.395234331339263e+18,"[ 0.03351929 -0.0207167  -0.01348478 ... -0.0184229  -0.03922097
 -0.02478733]",persona,Republican,video,-0.107987285,0.022129944,0.01374921
7.395213747402378e+18,"[ 0.01707828 -0.01080879 -0.0264606  ... -0.01310533 -0.05382337
 -0.0085056 ]",persona,Republican,video,-0.07853437,-0.07015608,0.041149095
7.395182490274516e+18,"[-0.00600019 -0.03002491 -0.03288104 ...  0.00084121 -0.03382498
  0.0010658 ]",persona,Republican,video,-0.06823512,-0.093310066,0.0947116
7.394088994235108e+18,"[ 0.01221052 -0.02619135 -0.02713986 ... -0.01467898 -0.03826109
  0.01524385]",persona,Republican,video,-0.12801522,-0.14407025,0.11962465
7.393404892011826e+18,"[ 0.02799638 -0.01444528 -0.05021238 ... -0.00955096 -0.00959967
  0.00362512]",persona,Republican,video,-0.06852765,-0.08206589,0.040207505
7.393322823529336e+18,"[ 0.01266855 -0.00673184 -0.02504349 ... -0.02521945 -0.05249536
  0.01394054]",persona,Republican,video,-0.11757941,-0.10436663,0.1041735
7.395555701898104e+18,"[ 0.03138001 -0.00954848 -0.01150491 ...  0.00058883 -0.04142358
  0.00035892]",persona,Republican,video,-0.027929617,-0.05293656,0.07788341
7.39515693324367e+18,"[ 0.03303758 -0.01073385 -0.03232842 ... -0.00205153 -0.0433855
  0.00031343]",persona,Republican,video,-0.12830049,-0.12218218,0.02409766
7.39489392848023e+18,"[ 0.03504673 -0.01346144 -0.02368349 ... -0.01012719 -0.06127833
 -0.01559926]",persona,Republican,video,-0.100969054,-0.11390333,0.1200784
7.39375269391688e+18,"[ 0.02232551 -0.03408301 -0.04179719 ... -0.01001607 -0.01659798
  0.00610611]",persona,Republican,video,-0.08320268,-0.13614535,0.05806548
7.394183074575126e+18,"[ 0.05321502  0.00653951 -0.01803685 ... -0.01092353 -0.05917542
  0.00049683]",persona,Republican,video,-0.15653928,-0.1478434,0.07122689
